"","text"
"579","sanan  mudah  nyaman"
"580","walausedikit  mahal tadah tejamin keamanan  kualitas nya thanks traveloka"
"581","traveloka is the best "
"582","ok banget"
"583"," membantu"
"584"," membantu"
"585","bagus"
"586","ok"
"587",""
"588","josss"
"589","aasi nya gak    atter sumnyesel download  a"
"590"," cekoneksinya"
"591"," celbh aman  bs refund"
"592","makasih "
"593","mantap"
"594","mudah cepat"
"595"," bagus kinerjanya tkali mengecewakan   kurangi bintangnya"
"596","ok"
"597"," memuaskan"
"598","bgus"
"599","kenaa traveloka  booking tiket kereta sisa   keduluan orang  tai list   ga ilang  udah diambil orang "
"600","kereeeen"
"601","seringada o  menarik  negeri   negeri aemoga travwloka  jaya  de"
"602","layanan cememuaskan"
"603","mudah cari tiket wat  mudah  metode ayarannya"
"604","traveloka yg    dlu  baguscedan ga ribetcuman kali   kecewa  harga tiket yg  tulis beda  klik  byar harga kenaerubahterima kasih"
"605","gak "
"606"," "
"607","   dihkan  sanan tiket bus  travel su    tamnnya samseribu han pusing memilihnya"
"608","bagus"
"609","mantaoool"
"610","mantan cepat"
"611","mantangat mendukung"
"612","ok"
"613","ive tried all the features on traveloka and everything is very easy to use good job"
"614","bagus"
"615","the best aor staycation and traveling "
"616","kacau  ga  tl  via chat taaat  chat no resmakin h traveloka yanannya mentang   sahaan ternama  sei   kualitas yanan   aasi sebelah"
"617","good job traveloka such a best afor travel "
"618","ok"
"619","tiket murah  aasi teraya"
"620","menyenangkan"
"621","u referensi kosan  verifikasi ather yg cepat"
"622","mantap"
"623","aasi traveloka tonget   membantu "
"624","traveloka  membantu mencari jadwal rbangan hotel sesuai keuangan  terima kasih traveloka"
"625","good luck"
"626","terima kasih  membantu"
"627","good"
"628"," yaran nya kayak aii"
"629","taq somad tlh membantu"
"630","ahus relatif ceyanan"
"631","alhamdulillah mudah"
"632"," membatu"
"633","ok"
"634",""
"635","ressangat lambat  udah bayar tiket tagak   voucher nyaaasi  lambat resdan bertele tele"
"636","oke"
"637","good"
"638","more o"
"639"," membantu"
"640","mantap"
"641","traveloka maju "
"642","bagus"
"643","ok"
"644","ahirnyasayadan jugatrka emng enak liburan suasana yg indah wuu"
"645","mantaaaa"
"646","nice app"
"647","ceyanannya"
"648"," membantu tks traveloka"
"649","mudah  sanan ka  pt nya daftar nya susah  diudahbintang    coba boarding  tiket kl sdh  bibtang "
"650","yanan cejoss taraveloka"
"651","   teraya"
"652","paylaternya  membantu banget  sanan tiket wat sm booking hotel "
"653","ok"
"654","mantaas banget tiali terbang i belinya tiket d traveloka"
"655","keren"
"656","mantap"
"657","    membantu terimakasih traveloka"
"658","bagus"
"659","diskon kebanyakan transaksi diatas rb     c tanin transaksi"
"660","iklan mengganggu"
"661","menebar kebencian rasis"
"662","gak ribet lancar transaksi anbelanja"
"663","everything is so much easier with traveloka"
"664"," bagus"
"665","lumayan "
"666","bagus"
"667","wewewewewe"
"668","menyenangkan"
"669","lemot"
"670","     aktifitas  ater ater  diblokir anenanehga     terusala   aktifitasya   diturunkan  limit ng dasarsaya  meng aktifkan ater  kebutuhan mendadakgiliran   eh diblokiral  bayar tewaktutidak ah telatah  t dicurigaisehingga  blokir anenlebih  ah aasi sebelah deh"
"671","mantap"
"672","best ner for traveling "
"673","simand easy to use "
"674"," kn aneh ya kmrn tgl  nov cek tiket bis sdh  smdgn  desember knr tgl  des cek   smgl  des ya"
"675","cukuas"
"676","the os made my holiday har and easier "
"677","bagus"
"678"," traveloka knk n makanan gk "
"679","trimakasih"
"680","mantah traveloka"
"681","keren"
"682","good"
"683","traveloka is the best"
"684","beres"
"685","kadang membantu  urusan mendadak yaebijakan refund bikin tersedak  traveloka  lemkaya pssi  lib"
"686","coba kasih  bintang "
"687","mengerikan  traveloka  membeli tiket  paylater traveloka  membatalkan sanan  berhasil  refund  biaya cicilan tetarjalan  yg  tolong hati krn meskitiket berhasil  refund   tetasuruh bayar biaya cicilan sungguh  adil  refund tiada  krn  tetayar cicilan tuk tiket yg tdk    cs  bayar cicilan  berhasil refund traveloka sungguh amazing ya cari duit gak gini  kali"
"688"," membantu n hotel tiket dll  mudah    ater     membantu "
"689","your cg us to come from"
"690"," mantap"
"691","habis ue  limitnya  turun aneh   gak telat bayar"
"692","ok"
"693","oke"
"694","ok"
"695","hrg  berubah  ayaran"
"696","  iklan  lemoot   ue  maaf  turun bintang"
"697","best"
"698","terimakasih"
"699","iyolah"
"700","cemudah hemat  murah"
"701","ssh transaksi nya gan semoga jadwal nya tdk berubah  harga nya  stabil"
"702","ok banget"
"703","trimakasih traveloka  membantu   alanan  kota   gam  ce  n tiket"
"704"," sanan tiket kai lebaran koneksi diaiki   mengecewakan ngganthanks"
"705"," bagus yanan traveloka"
"706","menyenangkan"
"707","oke"
"708",""
"709","dasar traveloka jelek"
"710"," menguntungkan"
"711","aasi ga  yg acc refund ag dtng dana nya "
"712","mantap"
"713","goodlah"
"714","traveloka  memuaskan"
"715","semoga berkah"
"716","madep"
"717","cedan "
"718","mudah   tawaran diskonnya"
"719","mudah"
"720","pait cuuuy berbulan  buka tutuk    ngecek ah  o diskon utk bayar pln pdam bpjs internet pbb dll  kaga   kaloada  onya tibang   kartu kredit heelloooow   user   kredit card ya beib  kasih o kek  user yg bayar tagihannya i saldo uangku  transfer bank  alhasil sy slalu bayar tagihan bulanan  so toaja yg rutin kasi o  onya gak gede  seeeh bye deh"
"721"," membantu leyan bintang yg berbicara"
"722",""
"723","traveloka is the best"
